DRG,CaseRate,CaseRateDays,PDRate1,PDDays1,PctBC,Base Rate,OutlierPctBC,OutlierThreshold%
774,"4,000.00",2,"1,000.00",999,65%,"7,917.00",MSDRG Outlier Rate % Second $,20%
765,"4,500.00",2,"1,000.00",999,65%,"7,917.00",MSDRG Outlier Rate % Second $,20%
791,-,-,65%,999,-,-,MSDRG Outlier Rate % Second $,20%
792,-,-,65%,999,-,-,MSDRG Outlier Rate % Second $,20%
793,-,-,65%,999,-,-,MSDRG Outlier Rate % Second $,20%
794,-,-,65%,999,-,-,MSDRG Outlier Rate % Second $,20%
795,-,-,812.00,999,-,-,MSDRG Outlier Rate % Second $,20%
765,"4,500.00",2,"1,000.00",999,65%,"7,917.00",MSDRG Outlier Rate % Second $,20%
724,"3,000.00",2,-,999,-,"7,917.00",MSDRG Outlier Rate % Second $,20%
765,"4,500.00",2,"1,000.00",999,65%,"7,917.00",MSDRG Outlier Rate % Second $,20%
774,"4,000.00",2,"1,000.00",999,65%,"7,917.00",MSDRG Outlier Rate % Second $,20%
774,"4,000.00",2,"1,000.00",999,65%,"7,917.00",MSDRG Outlier Rate % Second $,20%
